trimester,brand,noCards
2011/06/01,Banamex,4692943
2011/08/01,Banamex,4851299
2011/10/01,Banamex,5061594
2011/12/01,Banamex,5160631
2012/02/01,Banamex,5286084
2012/04/01,Banamex,5350314
2012/06/01,Banamex,5374529
2012/08/01,Banamex,5375131
2012/10/01,Banamex,5523004
2012/12/01,Banamex,5552500
2013/02/01,Banamex,5580999
2013/04/01,Banamex,5681665
2013/06/01,Banamex,5795248
2013/08/01,Banamex,5762087
2013/10/01,Banamex,5806833
2013/12/01,Banamex,5755916
2014/02/01,Banamex,5674771
2014/04/01,Banamex,5585168
2014/06/01,Banamex,5600792
2014/08/01,Banamex,5479140
2014/10/01,Banamex,5478712
2014/12/01,Banamex,5193727
2015/02/01,Banamex,5235844
2015/04/01,Banamex,5195835
2015/06/01,Banamex,5069367
2015/08/01,Banamex,5078875
2015/10/01,Banamex,5100132
2015/12/01,Banamex,5040815
2016/02/01,Banamex,5056286
2016/04/01,Banamex,5102035
2016/06/01,Banamex,5232074
2016/08/01,Banamex,5284674
2016/10/01,Banamex,5489950
2016/12/01,Banamex,5508329
2017/02/01,Banamex,5503742
2017/04/01,Banamex,5495826
2017/06/01,Banamex,5492455
2017/08/01,Banamex,5491708
2017/10/01,Banamex,5486292
2017/12/01,Banamex,5504278
2018/02/01,Banamex,5537421
2018/04/01,Banamex,5592084
2018/06/01,Banamex,5636346
2018/08/01,Banamex,5644852
2018/10/01,Banamex,5595803
2018/12/01,Banamex,5548325
2019/02/01,Banamex,5442857
2019/04/01,Banamex,5381290
2019/06/01,Banamex,5317064
2019/08/01,Banamex,5289910
2019/10/01,Banamex,5257229
2019/12/01,Banamex,5223866
2020/02/01,Banamex,5180714
2020/04/01,Banamex,5116081
2020/06/01,Banamex,4969015
2020/08/01,Banamex,4851043
2020/10/01,Banamex,4776935
2011/06/01,BancaMifel,1080
2011/08/01,BancaMifel,1141
2011/10/01,BancaMifel,1223
2011/12/01,BancaMifel,1272
2012/02/01,BancaMifel,1333
2012/04/01,BancaMifel,1376
2012/06/01,BancaMifel,1421
2012/08/01,BancaMifel,1532
2012/10/01,BancaMifel,1417
2012/12/01,BancaMifel,1623
2013/02/01,BancaMifel,1801
2013/04/01,BancaMifel,1942
2013/06/01,BancaMifel,1989
2013/08/01,BancaMifel,2076
2013/10/01,BancaMifel,2182
2013/12/01,BancaMifel,2231
2014/02/01,BancaMifel,2205
2014/04/01,BancaMifel,2157
